LOCALITY_ID,LOCALITY_NAME,LOCALITY_TYPE,POSTCODE,STATE,SA2_MAINCODE,SA2_NAME,RATIO,PERCENT
ACT107,ACTON,GAZETTED LOCALITY,2601,ACT,801051049,Acton,0.9999982,99.9998158
ACT107,ANU,ALIAS LOCALITY,2601,ACT,801051049,Acton,0.9999982,99.9998158
ACT107,AUSTRALIAN NATIONAL UNIVERSITY,ALIAS LOCALITY,2601,ACT,801051049,Acton,0.9999982,99.9998158
ACT107,SPINNAKER ISLAND,ALIAS LOCALITY,2601,ACT,801051049,Acton,0.9999982,99.9998158
ACT107,SPRINGBANK ISLAND,ALIAS LOCALITY,2601,ACT,801051049,Acton,0.9999982,99.9998158
ABS195,ACTON PARK,EXTRA LOCALITY,2601,ACT,801021028,Molonglo,1,100
ACT104,AINSLIE,GAZETTED LOCALITY,2602,ACT,801051050,Ainslie,1,100
ACT104,CANBERRA CENTRAL,ALIAS LOCALITY,2602,ACT,801051050,Ainslie,1,100
ACT707,AMAROO,GAZETTED LOCALITY,2914,ACT,801041034,Amaroo,1,100
ACT556,ARANDA,GAZETTED LOCALITY,2614,ACT,801011001,Aranda,0.991765,99.1765011
ACT614,BANKS,GAZETTED LOCALITY,2906,ACT,801071071,Banks,1,100
ACT214,BARTON,GAZETTED LOCALITY,2600,ACT,801061065,Kingston - Barton,0.9991544,99.9154445
ACT214,MANUKA,ALIAS LOCALITY,2600,ACT,801061065,Kingston - Barton,0.9991544,99.9154445
ACT905,BEARD,GAZETTED LOCALITY,2620,ACT,801031030,ACT - East,1,100
ACT559,BELCONNEN,GAZETTED LOCALITY,2617,ACT,801011002,Belconnen,1,99.9999977
ACT559,EMU BANK,ALIAS LOCALITY,2617,ACT,801011002,Belconnen,1,99.9999977
ACT559,EMU RIDGE,ALIAS LOCALITY,2617,ACT,801011002,Belconnen,1,99.9999977
ABS358,BELLVIEW,EXTRA LOCALITY,2900,ACT,801071089,Tuggeranong,1,100
ABS384,BIBARINGA,EXTRA LOCALITY,2611,ACT,801021027,ACT - South West,1,100
ABS11999,BLACK MOUNTAIN,EXTRA LOCALITY,2601,ACT,801021028,Molonglo,1,100
ABS903,BLUNDELLS FLAT,EXTRA LOCALITY,2620,ACT,801021027,ACT - South West,1,100
ACT719,BONNER,GAZETTED LOCALITY,2914,ACT,801041035,Bonner,1,100
ACT619,BONYTHON,GAZETTED LOCALITY,2905,ACT,801071072,Bonython,1,100
ABS13806,BOOTH,EXTRA LOCALITY,2620,ACT,801021029,Namadgi,1,100
ABS1199,BRACKS,EXTRA LOCALITY,2620,ACT,801021027,ACT - South West,1,100
ACT106,BRADDON,GAZETTED LOCALITY,2612,ACT,801051051,Braddon,0.9624193,96.2419316
ACT106,DEVONPORT,ALIAS LOCALITY,2612,ACT,801051051,Braddon,0.9624193,96.2419316
ACT106,FULLERTON,ALIAS LOCALITY,2612,ACT,801051051,Braddon,0.9624193,96.2419316
ACT555,BRUCE,GAZETTED LOCALITY,2617,ACT,801011003,Bruce,0.9999996,99.9999573
ACT555,ACACIA GARDENS,ALIAS LOCALITY,2617,ACT,801011003,Bruce,0.9999996,99.9999573
ACT555,CAPRICORN,ALIAS LOCALITY,2617,ACT,801011003,Bruce,0.9999996,99.9999573
ACT611,CALWELL,GAZETTED LOCALITY,2905,ACT,801071073,Calwell,1,100
ACT611,CONDER RIDGE,ALIAS LOCALITY,2905,ACT,801071073,Calwell,1,100
ACT611,MOUNTAIN VIEW,ALIAS LOCALITY,2905,ACT,801071073,Calwell,1,100
ACT110,CAMPBELL,GAZETTED LOCALITY,2612,ACT,801051052,Campbell,1,100
ACT110,CANBERRA CENTRAL,ALIAS LOCALITY,2612,ACT,801051052,Campbell,1,100
ACT110,DUNTROON,ALIAS LOCALITY,2612,ACT,801051052,Campbell,1,100
ACT931,CANBERRA AIRPORT,GAZETTED LOCALITY,2609,ACT,801031033,Majura,1,100
ACT931,CANBERRA INTERNATIONAL AIRPORT,ALIAS LOCALITY,2609,ACT,801031033,Majura,1,100
ACT931,MAJURA,ALIAS LOCALITY,2609,ACT,801031033,Majura,1,100
ACT213,CAPITAL HILL,GAZETTED LOCALITY,2600,ACT,801061068,Parkes (ACT),1,100
ACT903,CASEY,GAZETTED LOCALITY,2913,ACT,801041036,Casey,0.9999999,99.9999916
ABS1376,CASTLE HILL,EXTRA LOCALITY,2620,ACT,801021027,ACT - South West,1,100
ACT444,CHAPMAN,GAZETTED LOCALITY,2611,ACT,801081091,Chapman,1,100
ACT570,CHARNWOOD,GAZETTED LOCALITY,2615,ACT,801011004,Charnwood,1,100
ACT337,CHIFLEY,GAZETTED LOCALITY,2606,ACT,801091099,Chifley,0.9940045,99.4004536
ACT609,CHISHOLM,GAZETTED LOCALITY,2905,ACT,801071074,Chisholm,1,100
ACT108,CITY,GAZETTED LOCALITY,2601,ACT,801051053,Civic,1,100
ACT108,CANBERRA,ALIAS LOCALITY,2601,ACT,801051053,Civic,1,100
ACT108,CANBERRA CENTRAL,ALIAS LOCALITY,2601,ACT,801051053,Civic,1,100
ACT108,CANBERRA CITY,ALIAS LOCALITY,2601,ACT,801051053,Civic,1,100
ACT108,CIVIC,ALIAS LOCALITY,2601,ACT,801051053,Civic,1,100
ACT108,CIVIC CENTRE,ALIAS LOCALITY,2601,ACT,801051053,Civic,1,100
ACT108,CIVIC SQUARE,ALIAS LOCALITY,2601,ACT,801051053,Civic,1,100
ACT613,CONDER,GAZETTED LOCALITY,2906,ACT,801071075,Conder,1,100
ACT613,CONDER RIDGE,ALIAS LOCALITY,2906,ACT,801071075,Conder,1,100
ACT557,COOK,GAZETTED LOCALITY,2614,ACT,801011005,Cook,1,100
ACT906,COOMBS,GAZETTED LOCALITY,2611,ACT,801021027,ACT - South West,1,100
ABS14430,CRACE,EXTRA LOCALITY,2912,ACT,801041045,Mitchell,1,100
ACT904,CRACE,GAZETTED LOCALITY,2911,ACT,801041037,Crace,0.9999998,99.9999803
ACT328,CURTIN,GAZETTED LOCALITY,2605,ACT,801091100,Curtin,1,100
ACT328,WODEN VALLEY,ALIAS LOCALITY,2605,ACT,801091100,Curtin,1,100
ACT215,DEAKIN,GAZETTED LOCALITY,2600,ACT,801061062,Deakin,0.9981528,99.8152835
ACT215,CANBERRA CENTRAL,ALIAS LOCALITY,2600,ACT,801061062,Deakin,0.9981528,99.8152835
ACT215,DEAKIN WEST,ALIAS LOCALITY,2600,ACT,801061062,Deakin,0.9981528,99.8152835
ACT929,DENMAN PROSPECT,GAZETTED LOCALITY,2617,ACT,801021027,ACT - South West,1,100
ACT102,DICKSON,GAZETTED LOCALITY,2602,ACT,801051054,Dickson,0.9729666,97.2966614
ACT124,DOWNER,GAZETTED LOCALITY,2602,ACT,801051055,Downer,1,100
ACT446,DUFFY,GAZETTED LOCALITY,2611,ACT,801081092,Duffy,1,100
ACT446,WESTON CREEK,ALIAS LOCALITY,2611,ACT,801081092,Duffy,1,100
ACT578,DUNLOP,GAZETTED LOCALITY,2615,ACT,801011006,Dunlop,1,100
ACT574,EVATT,GAZETTED LOCALITY,2617,ACT,801011007,Evatt,1,99.9999974
ACT605,FADDEN,GAZETTED LOCALITY,2904,ACT,801071076,Fadden,0.9999999,99.9999923
ACT334,FARRER,GAZETTED LOCALITY,2607,ACT,801091101,Farrer,1,100
ACT334,WODEN VALLEY,ALIAS LOCALITY,2607,ACT,801091101,Farrer,1,100
ACT443,FISHER,GAZETTED LOCALITY,2611,ACT,801081093,Fisher,1,100
ACT560,FLOREY,GAZETTED LOCALITY,2615,ACT,801011008,Florey,0.9999998,99.9999823
ACT571,FLYNN,GAZETTED LOCALITY,2615,ACT,801011009,Flynn (ACT),0.9953174,99.5317374
ACT716,FORDE,GAZETTED LOCALITY,2914,ACT,801041038,Forde,1,100
ACT216,FORREST,GAZETTED LOCALITY,2603,ACT,801061063,Forrest,1,100
ACT902,FRANKLIN,GAZETTED LOCALITY,2913,ACT,801041039,Franklin,1,100
ACT577,FRASER,GAZETTED LOCALITY,2615,ACT,801011010,Fraser,1,100
ACT219,FYSHWICK,GAZETTED LOCALITY,2609,ACT,801031030,ACT - East,0.9999972,99.9997235
ACT219,CANBERRA CENTRAL,ALIAS LOCALITY,2609,ACT,801031030,ACT - East,0.9999972,99.9997235
ACT330,GARRAN,GAZETTED LOCALITY,2605,ACT,801091102,Garran,0.9971521,99.7152119
ACT608,GILMORE,GAZETTED LOCALITY,2905,ACT,801071077,Gilmore,1,99.9999961
ACT552,GIRALANG,GAZETTED LOCALITY,2617,ACT,801011011,Giralang,1,100
ACT616,GORDON,GAZETTED LOCALITY,2906,ACT,801071078,Gordon (ACT),0.9972135,99.7213518
